,City,Mean underproduction,RHNA Success,P(inventory) for homes built,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
0,Berkeley,1.2554228350400711,0.6323082122338628,0.040619989310529125,0.017964071856287425,0.02531645569620253,0.022277227722772276,3 / 167,6 / 237,9 / 404
1,Albany,,0.7701492537313432,0.0,0.0,0.0,0.0,0 / 17,0 / 8,0 / 41
2,Alameda,,0.6970400464306442,0.0,0.14285714285714285,0.2727272727272727,0.2222222222222222,1 / 7,3 / 11,4 / 18
3,Livermore,1.2383854772109975,0.7299377061194576,0.24497991967871485,0.09574468085106383,0.23300970873786409,0.16336633663366337,9 / 94,24 / 103,33 / 202
4,Fremont,0.4375404080104441,1.1035747021081577,0.11212624584717608,0.04964539007092199,0.09523809523809523,0.05555555555555555,7 / 141,2 / 21,9 / 162
5,San Ramon,0.8571428571428571,1.36908962597036,0.009278350515463918,0.0,0.0,0.005263157894736842,0 / 30,0 / 4,1 / 190
6,Newark,,1.1103896103896105,0.000835421888053467,0.1111111111111111,0.25,0.16312056737588654,1 / 9,1 / 4,23 / 141
7,Brentwood,2.0,3.5776315789473685,0.000735564545788893,0.04,0.08484848484848485,0.07894736842105263,1 / 25,14 / 165,15 / 190
8,Hayward,0.29370300751879697,0.5877551020408164,0.020399305555555556,0.17543859649122806,0.05263157894736842,0.09836065573770492,10 / 57,2 / 38,18 / 183
9,Emeryville,0.29411764705882354,0.38651535380507346,0.008635578583765112,0.0,0.0,0.04,0 / 5,0 / 3,2 / 50
10,Pleasanton,0.9289749798224375,1.0270924044508951,0.3301931229392369,0.25,0.27586206896551724,0.22058823529411764,3 / 12,8 / 29,15 / 68
11,San Leandro,1.0,0.06034105815478793,0.007246376811594203,0.0,0.029411764705882353,0.007142857142857143,0 / 53,1 / 34,1 / 140
12,Concord,0.5388888888888889,0.06900517538815411,0.04583333333333333,0.020833333333333332,0.16666666666666666,0.07046070460704607,2 / 96,13 / 78,26 / 369
13,Richmond,1.0303255067907615,0.40492813141683776,0.005070993914807302,,0.02242152466367713,0.02242152466367713,0 / 0,5 / 223,5 / 223
14,Martinez,1.0,0.3283582089552239,0.01948051948051948,0.0,0.03319502074688797,0.0299625468164794,0 / 26,8 / 241,8 / 267
15,Clayton,0.022727272727272728,0.07092198581560284,0.1,0.18181818181818182,0.0,0.08695652173913043,2 / 11,0 / 8,2 / 23
16,Pinole,1.0,0.04377104377104377,0.07692307692307693,0.0,0.03225806451612903,0.016666666666666666,0 / 4,1 / 31,1 / 60
17,Oakland,1.9841584456045993,1.2998306806637319,0.19654022509378907,,,0.06956521739130435,0 / 0,0 / 0,24 / 345
18,San Francisco,4.676238624535908,0.9030794277598808,0.19481416132867937,0.029885057471264367,0.04705003734129948,0.03425961172440046,117 / 3915,63 / 1339,180 / 5254
19,Dublin,1.2853535353535352,2.1260393873085337,0.008645533141210375,0.037037037037037035,0.041666666666666664,0.038461538461538464,2 / 54,1 / 24,3 / 78
20,Antioch,,0.4986187845303867,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 9
21,Lafayette,0.875,0.7825,0.23003194888178913,0.0625,0.3333333333333333,0.027777777777777776,1 / 16,1 / 3,2 / 72
22,Danville,1.5440019665683382,1.0161579892280073,0.5477031802120141,0.2,0.0,0.13095238095238096,5 / 25,0 / 12,11 / 84
23,San Pablo,1.0,0.18930957683741648,0.011764705882352941,0.0,0.02631578947368421,0.008,0 / 62,1 / 38,1 / 125
24,Napa,1.3666666666666667,1.2395209580838322,0.03961352657004831,0.10810810810810811,0.11904761904761904,0.09090909090909091,4 / 37,5 / 42,9 / 99
25,El Cerrito,,1.085427135678392,0.009259259259259259,0.0,0.03896103896103896,0.03361344537815126,0 / 6,3 / 77,4 / 119
26,Union City,,0.38788426763110306,0.0,0.16666666666666666,0.06666666666666667,0.05714285714285714,1 / 6,1 / 15,2 / 35
27,Walnut Creek,,0.680089485458613,0.0,0.008264462809917356,0.5,0.016129032258064516,1 / 121,1 / 2,2 / 124
28,Corte Madera,1.0,0.4861111111111111,0.5142857142857142,0.0,0.3,0.2727272727272727,0 / 1,3 / 10,3 / 11
29,Moraga,,0.3406113537117904,0.0,0.0,0.029411764705882353,0.024390243902439025,0 / 1,1 / 34,1 / 41
30,Hercules,,1.0835777126099706,0.0,,0.0,0.0,0 / 0,0 / 14,0 / 14
31,Oakley,,1.1078767123287672,0.0,0.0,1.0,0.14285714285714285,0 / 6,1 / 1,1 / 7
32,Pittsburg,1.3262626262626263,0.9264197530864198,0.2931769722814499,0.14285714285714285,0.23529411764705882,0.17857142857142858,1 / 7,4 / 17,5 / 28
33,Pleasant Hill,,0.42857142857142855,0.005208333333333333,,,0.034482758620689655,0 / 0,0 / 0,1 / 29
34,American Canyon,,0.9770408163265306,0.0,0.2,0.0,0.03333333333333333,1 / 5,0 / 25,1 / 30
35,Larkspur,,0.5909090909090909,0.01282051282051282,0.0,,0.05263157894736842,0 / 3,0 / 0,1 / 19
36,Piedmont,1.0,0.8,0.020833333333333332,,0.017241379310344827,0.017241379310344827,0 / 0,1 / 58,1 / 58
37,San Rafael,0.20930232558139536,0.23634558093346575,0.04201680672268908,0.125,0.058823529411764705,0.07246376811594203,1 / 8,1 / 17,5 / 69
38,Calistoga,,5.111111111111111,0.0,0.0,0.06666666666666667,0.09375,0 / 2,1 / 15,3 / 32
39,Tiburon,,0.2692307692307692,0.0,0.0,0.0,0.0,0 / 3,0 / 2,0 / 5
40,Sausalito,,0.3670886075949367,0.0,0.0,0.0,0.0,0 / 60,0 / 27,0 / 87
41,Yountville,,0.8823529411764706,0.0,0.0,0.1111111111111111,0.07142857142857142,0 / 5,1 / 9,1 / 14
42,San Anselmo,1.0,1.509433962264151,0.1375,0.043478260869565216,,0.04697986577181208,1 / 23,0 / 0,7 / 149
43,Belvedere,1.0,0.25,0.25,,0.058823529411764705,0.058823529411764705,0 / 0,1 / 17,1 / 17
44,Fairfax,2.0,1.459016393442623,0.0449438202247191,0.02631578947368421,0.14285714285714285,0.057692307692307696,1 / 38,2 / 14,3 / 52
45,Ross,,1.0,0.0,0.0,0.0,0.0,0 / 8,0 / 11,0 / 25
46,Novato,3.2777777777777777,0.6433734939759036,0.19101123595505617,,,0.029411764705882353,0 / 0,0 / 0,2 / 68
47,Half Moon Bay,0.8827450980392156,0.2916666666666667,0.34285714285714286,0.16666666666666666,0.07339449541284404,0.04930662557781202,2 / 12,24 / 327,32 / 649
48,Millbrae,,0.11161387631975868,0.0,0.008,0.0,0.007575757575757576,1 / 125,0 / 4,1 / 132
49,San Bruno,0.4266666666666667,0.21645021645021645,0.128,0.3333333333333333,,0.3333333333333333,2 / 6,0 / 0,2 / 6
50,Mill Valley,1.0,0.7441860465116279,0.010416666666666666,0.0,0.03333333333333333,0.017857142857142856,0 / 25,1 / 30,1 / 56
51,Brisbane,1.6041666666666667,0.9518072289156626,0.25316455696202533,0.029508196721311476,0.06140350877192982,0.03818615751789976,9 / 305,7 / 114,16 / 419
52,Atherton,0.5,1.1827956989247312,0.00909090909090909,0.027777777777777776,,0.027777777777777776,2 / 72,0 / 0,2 / 72
53,Menlo Park,0.5546536796536797,1.7694656488549618,0.022433132010353754,0.0625,0.08108108108108109,0.0653061224489796,13 / 208,3 / 37,16 / 245
54,Pacifica,,0.21307506053268765,0.0,0.0,0.0,0.0,0 / 18,0 / 9,0 / 43
55,Redwood City,2.4,1.0656149157404087,0.008075370121130552,0.0,0.07692307692307693,0.017857142857142856,0 / 15,1 / 13,1 / 56
56,Belmont,1.0,0.3525641025641026,0.048484848484848485,0.0,0.18867924528301888,0.10619469026548672,0 / 11,10 / 53,12 / 113
57,San Mateo,1.3599456818863198,0.5458064516129032,0.44208037825059104,0.1,0.5666666666666667,0.2127659574468085,3 / 30,17 / 30,20 / 94
58,Colma,2.5384615384615383,1.271186440677966,0.88,,,1.0,0 / 0,0 / 0,1 / 1
59,Daly City,4.12,0.5407407407407407,0.363013698630137,0.0,0.16666666666666666,0.1590909090909091,0 / 7,1 / 6,7 / 44
60,San Carlos,2.2738095238095237,0.8640939597315436,0.10097087378640776,0.022292993630573247,0.10810810810810811,0.03133903133903134,7 / 314,4 / 37,11 / 351
61,Woodside,,1.1612903225806452,0.09722222222222222,,0.02631578947368421,0.02631578947368421,0 / 0,7 / 266,7 / 266
62,Burlingame,5.278288740245262,0.578215527230591,0.8016032064128257,0.05405405405405406,,0.06578947368421052,4 / 74,0 / 0,5 / 76
63,Portola Valley,1.375,1.234375,0.13924050632911392,,0.13157894736842105,0.15384615384615385,0 / 0,10 / 76,12 / 78
64,Gilroy,,1.5091911764705883,0.0,0.0,0.0,0.1794871794871795,0 / 3,0 / 5,7 / 39
65,East Palo Alto,,0.2012847965738758,0.0,0.0,0.0,0.0,0 / 27,0 / 8,0 / 39
66,Los Altos,0.9444444444444444,1.1153039832285114,0.06390977443609022,0.08823529411764706,0.2608695652173913,0.15789473684210525,3 / 34,6 / 23,9 / 57
67,Los Altos Hills,0.7559523809523808,1.1818181818181819,0.13986013986013987,0.05042016806722689,0.26666666666666666,0.1079136690647482,6 / 119,4 / 15,15 / 139
68,South San Francisco,6.135149229781772,0.5826180257510729,0.3453038674033149,0.12,0.1,0.11428571428571428,3 / 25,1 / 10,4 / 35
69,Mountain View,8.753160289542274,1.2231715652768285,0.1838502374965074,0.2,0.2857142857142857,0.10752688172043011,5 / 25,2 / 7,10 / 93
70,San Jose,1.0978286697619521,0.48255416191562145,0.29601843100189035,0.08943089430894309,0.1,0.18030050083472454,22 / 246,25 / 250,108 / 599
71,Los Gatos,,0.2148626817447496,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 36
72,Milpitas,0.468768694043304,0.9477203647416413,0.5291853752405388,0.2222222222222222,0.0,0.2631578947368421,4 / 18,0 / 7,45 / 171
73,Palo Alto,1.0,0.2630784708249497,0.0248565965583174,0.01818181818181818,0.0,0.01775147928994083,3 / 165,0 / 4,3 / 169
74,Santa Clara,1.9473648017735379,1.5206450036647936,0.13801413881748073,0.06280193236714976,0.07142857142857142,0.06334841628959276,13 / 207,1 / 14,14 / 221
75,Sunnyvale,1.0010057092665787,0.6056493030080704,0.1665657177468201,0.07191780821917808,0.2,0.07333333333333333,21 / 292,1 / 5,22 / 300
76,Morgan Hill,0.0655570652173913,2.2025862068965516,0.003913894324853229,,0.175,0.175,0 / 0,14 / 80,14 / 80
77,Campbell,4.888888888888888,0.5155412647374062,0.09355509355509356,0.11009174311926606,0.16666666666666666,0.11023622047244094,12 / 109,2 / 12,14 / 127
78,Cupertino,1.7272727272727273,0.2556390977443609,0.06985294117647059,,,0.03571428571428571,0 / 0,0 / 0,1 / 28
79,Saratoga,,0.18906605922551253,0.0,0.0,,0.0,0 / 8,0 / 0,0 / 14
80,Cloverdale,1.3047619047619048,0.5402843601895735,0.34210526315789475,0.09090909090909091,0.2413793103448276,0.12903225806451613,1 / 11,7 / 29,8 / 62
81,Benicia,0.9819808141042262,0.0764525993883792,0.2,,0.061224489795918366,0.06060606060606061,0 / 0,6 / 98,6 / 99
82,Petaluma,0.8202173913043478,1.1798657718120806,0.17178612059158135,,,0.10465116279069768,0 / 0,0 / 0,9 / 86
83,Santa Rosa,0.1,0.37418847137517214,0.0005257623554153522,,,0.029411764705882353,0 / 0,0 / 0,1 / 34
84,Sebastopol,0.75,0.225,0.07407407407407407,,0.044444444444444446,0.04081632653061224,0 / 0,2 / 45,2 / 49
85,Rohnert Park,,1.4149054505005563,0.0,0.0,0.0,0.0,0 / 3,0 / 1,0 / 35
86,Vacaville,2.689655172413793,1.5156826568265682,0.04747413268411443,0.0,0.11428571428571428,0.08461538461538462,0 / 44,8 / 70,11 / 130
87,Suisun City,,0.16435643564356436,0.0,0.0,0.0,0.0,0 / 1,0 / 31,0 / 36
88,Cotati,,0.6131386861313869,0.4880952380952381,0.0,0.0,0.4186046511627907,0 / 7,0 / 31,36 / 86
89,Dixon,0.1184904204706185,1.0558375634517767,0.11057692307692307,0.0,0.36363636363636365,0.2631578947368421,0 / 2,4 / 11,5 / 19
90,Vallejo,0.875,0.19089574155653452,0.015384615384615385,,0.006666666666666667,0.006622516556291391,0 / 0,2 / 300,2 / 302
91,Rio Vista,,1.7123745819397993,0.0,,0.043478260869565216,0.043478260869565216,0 / 0,1 / 23,1 / 23
92,Monte Sereno,,0.7704918032786885,0.0,0.0,,0.0,0 / 5,0 / 0,0 / 6
93,Healdsburg,0.2785714285714286,1.5923566878980893,0.028,0.09523809523809523,0.08333333333333333,0.08333333333333333,2 / 21,3 / 36,5 / 60
94,Fairfield,0.3,0.6625806451612903,0.0014605647517039922,0.0,0.03896103896103896,0.03488372093023256,0 / 2,3 / 77,3 / 86
95,Sonoma,0.10256410256410256,1.0218978102189782,0.02857142857142857,0.0,0.2,0.043478260869565216,0 / 13,1 / 5,1 / 23
96,Windsor,,0.45454545454545453,0.025,0.0,0.0,0.39215686274509803,0 / 3,0 / 4,20 / 51
