City,Units permitted (2015-2019),Mean underproduction,Units built to units claimed ratio on matched sites,RHNA Success,Units permitted / claimed capacity,P(inventory) for homes built,P(inventory) for projects built,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
Alameda,1161.0,0.6489505785713121,0.5087108013937283,0.67382472431805,0.5171492204899777,0.5030146425495263,0.05263157894736842,0.2857142857142857,0.2727272727272727,0.2777777777777778,2 / 7,3 / 11,5 / 18
Albany,258.0,0.5416666666666666,0.9411764705882353,0.7701492537313432,0.6339066339066339,0.6821705426356589,0.02531645569620253,0.058823529411764705,0.125,0.04878048780487805,1 / 17,1 / 8,2 / 41
American Canyon,382.0,,,0.9744897959183674,0.6571025561633467,0.0,0.0,0.0,0.0,0.0,0 / 5,0 / 25,0 / 30
Antioch,607.0,,,0.4191988950276243,0.33169398907103825,0.0,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 9
Atherton,101.0,0.8333333333333334,0.75,1.086021505376344,0.5401069518716578,0.0297029702970297,0.029411764705882353,0.041666666666666664,,0.041666666666666664,3 / 72,0 / 0,3 / 72
Belmont,149.0,1.0035211267605635,1.0256410256410255,0.31837606837606836,0.2933070866141732,0.7516778523489933,0.1956521739130435,0.09090909090909091,0.1320754716981132,0.07964601769911504,1 / 11,7 / 53,9 / 113
Belvedere,4.0,,,0.25,0.23529411764705882,0.0,0.0,,0.0,0.0,0 / 0,0 / 17,0 / 17
Benicia,22.0,0.7790083374502478,0.7894736842105263,0.0672782874617737,0.03669541140560105,0.4090909090909091,0.4090909090909091,,0.05102040816326531,0.050505050505050504,0 / 0,5 / 98,5 / 99
Berkeley,1594.0,1.6867709260908281,1.7953709712308024,0.5386955052382562,0.2967226480914069,0.052070263488080304,0.021341463414634148,0.011976047904191617,0.012658227848101266,0.012376237623762377,2 / 167,3 / 237,5 / 404
Brentwood,2312.0,1.6654525162337661,1.2153846153846153,3.042105263157895,2.1348107109879964,0.1245674740484429,0.12620508326029797,0.04,0.07878787878787878,0.07368421052631578,1 / 25,13 / 165,14 / 190
Brisbane,41.0,1.438235294117647,0.9310344827586207,0.4939759036144578,0.05401844532279315,0.6585365853658537,0.7941176470588235,0.03278688524590164,0.06140350877192982,0.0405727923627685,10 / 305,7 / 114,17 / 419
Burlingame,474.0,4.027466555183947,2.824324324324324,0.5492468134414832,0.4121739130434783,0.8924050632911392,0.10909090909090909,0.05405405405405406,,0.06578947368421052,4 / 74,0 / 0,5 / 76
Calistoga,86.0,,,3.185185185185185,0.20187793427230047,0.011627906976744186,0.02631578947368421,0.0,0.0,0.03125,0 / 2,0 / 15,1 / 32
Campbell,413.0,2.375377859477124,2.1755725190839694,0.44265809217577706,0.3619631901840491,0.6900726392251816,0.2,0.09174311926605505,0.16666666666666666,0.09448818897637795,10 / 109,2 / 12,12 / 127
Clayton,10.0,0.34469696969696967,0.1,0.07092198581560284,0.03816793893129771,0.5,0.45454545454545453,0.18181818181818182,0.0,0.08695652173913043,2 / 11,0 / 8,2 / 23
Cloverdale,114.0,1.0442028985507246,0.875,0.5402843601895735,0.20577617328519857,0.30701754385964913,0.10256410256410256,0.09090909090909091,0.10344827586206896,0.06451612903225806,1 / 11,3 / 29,4 / 62
Colma,75.0,,,1.271186440677966,2.8846153846153846,0.0,0.0,,,0.0,0 / 0,0 / 0,0 / 1
Concord,225.0,0.7060606060606059,0.8,0.06469235192639448,0.05660377358490566,0.1288888888888889,0.24528301886792453,0.010416666666666666,0.1282051282051282,0.06504065040650407,1 / 96,10 / 78,24 / 369
Corte Madera,33.0,1.0,1.0,0.4583333333333333,0.5409836065573771,0.5454545454545454,0.16666666666666666,0.0,0.3,0.2727272727272727,0 / 1,3 / 10,3 / 11
Cotati,80.0,,,0.583941605839416,0.09019165727170236,0.4375,0.5072463768115942,0.0,0.0,0.4117647058823529,0 / 7,0 / 31,35 / 85
Cupertino,263.0,1.7272727272727273,1.7272727272727273,0.24718045112781956,0.16540880503144653,0.07224334600760456,0.009433962264150943,,,0.03571428571428571,0 / 0,0 / 0,1 / 28
Daly City,710.0,4.12,4.12,0.5259259259259259,1.3421550094517958,0.37746478873239436,0.12962962962962962,0.0,0.16666666666666666,0.1590909090909091,0 / 7,1 / 6,7 / 44
Danville,545.0,1.0942548110689703,2.042682926829268,0.9784560143626571,0.6646341463414634,0.6935779816513762,0.340080971659919,0.2,0.0,0.13095238095238096,5 / 25,0 / 12,11 / 84
Dixon,185.0,0.3421654464050057,0.24796747967479674,0.9390862944162437,0.18743667679837892,0.3945945945945946,0.3924731182795699,0.0,0.36363636363636365,0.2631578947368421,0 / 2,4 / 11,5 / 19
Dublin,3745.0,1.4166666666666667,0.7432432432432432,1.6389496717724288,1.1393367812595072,0.014686248331108143,0.0017130620985010706,0.037037037037037035,0.0,0.02564102564102564,2 / 54,0 / 24,2 / 78
East Palo Alto,92.0,,,0.19700214132762311,0.30882846592816376,0.0,0.0,0.0,0.0,0.0,0 / 27,0 / 8,0 / 39
El Cerrito,369.0,,,0.9271356783919598,0.41045606229143494,0.01084010840108401,0.0547945205479452,0.0,0.03896103896103896,0.03361344537815126,0 / 6,3 / 77,4 / 119
Emeryville,499.0,,,0.33311081441922563,0.16556071665560718,0.0,0.0,0.0,0.0,0.0,0 / 5,0 / 3,0 / 39
Fairfax,82.0,1.35,1.35,1.3442622950819672,0.5694444444444444,0.6585365853658537,0.034482758620689655,0.02631578947368421,0.0,0.019230769230769232,1 / 38,0 / 14,1 / 52
Fairfield,1731.0,0.25333333333333335,0.25333333333333335,0.5583870967741935,0.2697522206638616,0.0439052570768342,0.05244996549344375,0.0,0.012987012987012988,0.011627906976744186,0 / 2,1 / 77,1 / 86
Fremont,5892.0,1.1295937179311235,1.0574624403730524,1.0801099908340972,0.857354009214051,0.19365241004752207,0.07443609022556391,0.06382978723404255,0.047619047619047616,0.06172839506172839,9 / 141,1 / 21,10 / 162
Gilroy,1406.0,,,1.2922794117647058,2.2037617554858935,0.11522048364153627,0.16183816183816183,0.0,0.0,0.1794871794871795,0 / 3,0 / 5,7 / 39
Half Moon Bay,57.0,1.0208333333333333,0.8823529411764706,0.2375,0.058762886597938144,0.3508771929824561,0.3125,0.0,0.039755351681957186,0.023112480739599383,0 / 12,13 / 327,15 / 649
Hayward,2006.0,0.4811054949150768,0.4873294346978557,0.511734693877551,0.6700066800267201,0.2527417746759721,0.3432950191570881,0.17543859649122806,0.05263157894736842,0.10382513661202186,10 / 57,2 / 38,19 / 183
Healdsburg,241.0,0.12941176470588237,0.09090909090909091,1.535031847133758,0.49284253578732107,0.008298755186721992,0.011494252873563218,0.047619047619047616,0.027777777777777776,0.03333333333333333,1 / 21,1 / 36,2 / 60
Hercules,739.0,,,1.0835777126099706,0.2716911764705882,0.0,0.0,,0.0,0.0,0 / 0,0 / 14,0 / 14
Lafayette,313.0,0.5625,0.9054054054054054,0.7825,0.4960380348652932,0.21405750798722045,0.020618556701030927,0.0625,0.3333333333333333,0.027777777777777776,1 / 16,1 / 3,2 / 72
Larkspur,20.0,,,0.15151515151515152,0.2564102564102564,0.05,0.058823529411764705,0.0,,0.05263157894736842,0 / 3,0 / 0,1 / 19
Livermore,1896.0,0.9499063042050656,1.037156704361874,0.6947599853426163,0.5489287782281412,0.569620253164557,0.544137022397892,0.06382978723404255,0.21359223300970873,0.13861386138613863,6 / 94,22 / 103,28 / 202
Los Altos,313.0,0.9,0.7333333333333333,0.6561844863731656,1.2155339805825243,0.03514376996805112,0.027649769585253458,0.029411764705882353,0.17391304347826086,0.08771929824561403,1 / 34,4 / 23,5 / 57
Los Altos Hills,114.0,0.6805555555555556,0.5,0.9421487603305785,0.3202247191011236,0.20175438596491227,0.2,0.04201680672268908,0.26666666666666666,0.07913669064748201,5 / 119,4 / 15,11 / 139
Los Gatos,119.0,,,0.19224555735056542,0.14968553459119496,0.0,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 36
Martinez,70.0,0.8073291925465839,0.3564356435643564,0.14925373134328357,0.05098324836125273,0.5142857142857142,0.37037037037037035,0.0,0.029045643153526972,0.026217228464419477,0 / 26,7 / 241,7 / 267
Menlo Park,1089.0,3.5462903154802277,2.4381381412462697,1.6625954198473283,0.584092440588465,0.3948576675849403,0.17721518987341772,0.057692307692307696,0.05405405405405406,0.05714285714285714,12 / 208,2 / 37,14 / 245
Mill Valley,83.0,1.0,1.0,0.6434108527131783,0.43005181347150256,0.012048192771084338,0.012048192771084338,0.0,0.03333333333333333,0.017857142857142856,0 / 25,1 / 30,1 / 56
Millbrae,18.0,,,0.027149321266968326,0.011974852809100888,0.0,0.0,0.0,0.0,0.0,0 / 125,0 / 4,0 / 132
Milpitas,2019.0,0.40782085129696016,0.279665446941976,0.613677811550152,0.2517456359102244,0.849925705794948,0.4537037037037037,0.2222222222222222,0.0,0.08771929824561403,4 / 18,0 / 7,15 / 171
Monte Sereno,42.0,,,0.6885245901639344,1.2727272727272727,0.0,0.0,0.0,,0.0,0 / 5,0 / 0,0 / 6
Moraga,78.0,0.8,0.8,0.3406113537117904,0.094316807738815,0.05128205128205128,0.018867924528301886,0.0,0.029411764705882353,0.024390243902439025,0 / 1,1 / 34,1 / 41
Morgan Hill,1779.0,1.671654137103306,0.7025641025641025,1.9170258620689655,1.3790697674418604,0.23102866779089376,0.23669064748201438,,0.2125,0.2125,0 / 0,17 / 80,17 / 80
Mountain View,2883.0,8.216462258543585,1.19960668633235,0.9853041695146958,0.8964552238805971,0.4738120013874436,0.3918918918918919,0.2,0.2857142857142857,0.12903225806451613,5 / 25,2 / 7,12 / 93
Napa,955.0,1.1295880589998237,1.2839506172839505,1.1437125748502994,0.6744350282485876,0.21780104712041884,0.20863309352517986,0.08108108108108109,0.09523809523809523,0.0707070707070707,3 / 37,4 / 42,7 / 99
Newark,1183.0,0.572086349907158,0.3864628820960699,1.0974025974025974,0.7231051344743277,0.9822485207100592,0.9811659192825112,0.1111111111111111,0.25,0.16312056737588654,1 / 9,1 / 4,23 / 141
Novato,236.0,3.2777777777777777,5.1,0.5686746987951807,0.3913764510779436,0.21610169491525424,0.025974025974025976,,,0.029411764705882353,0 / 0,0 / 0,2 / 68
Oakland,19016.0,2.719362006197043,1.6868076535750252,1.2879105993904505,1.7826942908034125,0.2502103491796382,0.029239766081871343,,,0.07246376811594203,0 / 0,0 / 0,25 / 345
Oakley,1226.0,0.1,0.1,1.0496575342465753,2.9902439024390244,0.00734094616639478,0.00779896013864818,0.0,1.0,0.14285714285714285,0 / 6,1 / 1,1 / 7
Pacifica,84.0,,,0.2033898305084746,0.1935483870967742,0.0,0.0,0.0,0.0,0.0,0 / 18,0 / 9,0 / 43
Palo Alto,506.0,0.8083333333333332,0.8709677419354839,0.2545271629778672,0.3121529919802591,0.0533596837944664,0.025477707006369428,0.01818181818181818,0.0,0.01775147928994083,3 / 165,0 / 4,3 / 169
Petaluma,714.0,0.5162698412698413,0.6199376947040498,0.9583892617449664,0.20266818052795912,0.30952380952380953,0.11627906976744186,,,0.08139534883720931,0 / 0,0 / 0,7 / 86
Piedmont,42.0,1.0,1.0,0.7,0.711864406779661,0.023809523809523808,0.015625,,0.017241379310344827,0.017241379310344827,0 / 0,1 / 58,1 / 58
Pinole,13.0,1.0,1.0,0.04377104377104377,0.026530612244897958,0.07692307692307693,0.07142857142857142,0.0,0.03225806451612903,0.016666666666666666,0 / 4,1 / 31,1 / 60
Pittsburg,1658.0,0.6211379882922436,0.11688311688311688,0.8187654320987654,0.338989981598855,0.037997587454764774,0.011475409836065573,0.0,0.23529411764705882,0.14285714285714285,0 / 7,4 / 17,4 / 28
Pleasant Hill,156.0,,,0.3482142857142857,0.3305084745762712,0.00641025641025641,0.007246376811594203,,,0.034482758620689655,0 / 0,0 / 0,1 / 29
Pleasanton,1617.0,0.8180162463168709,0.8552941176470589,0.7822931785195936,0.5162835249042146,0.45701917130488556,0.21140142517814728,0.25,0.3103448275862069,0.22058823529411764,3 / 12,9 / 29,15 / 68
Portola Valley,65.0,1.2857142857142858,1.2857142857142858,1.015625,0.48148148148148145,0.18461538461538463,0.2,,0.09210526315789473,0.11538461538461539,0 / 0,7 / 76,9 / 78
Redwood City,1765.0,2.4,2.4,0.6328433130154177,0.5295529552955296,0.013597733711048159,0.0136986301369863,0.0,0.07692307692307693,0.017857142857142856,0 / 15,1 / 13,1 / 56
Richmond,846.0,0.6723422554069179,0.616316085686824,0.34743326488706366,0.3970222718145361,0.002364066193853428,0.007462686567164179,,0.008968609865470852,0.008968609865470852,0 / 0,2 / 223,2 / 223
Rio Vista,380.0,0.5567765567765568,0.5567765567765568,1.2709030100334449,0.07535197303192544,0.4,0.39790575916230364,,0.043478260869565216,0.043478260869565216,0 / 0,1 / 23,1 / 23
Rohnert Park,1272.0,,,1.4149054505005563,4.184210526315789,0.07075471698113207,0.0014184397163120568,0.0,0.0,0.02857142857142857,0 / 3,0 / 1,1 / 35
Ross,16.0,,,0.8888888888888888,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0 / 8,0 / 11,0 / 25
San Anselmo,69.0,1.0,1.0,0.6509433962264151,0.21428571428571427,0.3333333333333333,0.20512820512820512,0.043478260869565216,,0.053691275167785234,1 / 23,0 / 0,8 / 149
San Bruno,248.0,,,0.21471861471861473,0.4601113172541744,0.0,0.0,0.0,,0.0,0 / 6,0 / 0,0 / 6
San Carlos,511.0,2.0277777777777777,1.5777777777777777,0.8573825503355704,0.3634423897581792,0.13894324853228962,0.2465753424657534,0.022292993630573247,0.05405405405405406,0.02564102564102564,7 / 314,2 / 37,9 / 351
San Francisco,22225.0,2.710779644669992,1.985289310232102,0.7698569399702102,0.47077887690906395,0.27325084364454444,0.1474147414741474,0.042656449553001276,0.04929051530993279,0.044347164065473926,167 / 3915,66 / 1339,233 / 5254
San Jose,12602.0,0.913672432269377,0.7506925207756233,0.35923603192702397,0.5560745251060897,0.3225678463735915,0.2296056185845489,0.08536585365853659,0.08,0.08266129032258064,21 / 246,20 / 250,41 / 496
San Leandro,138.0,0.8333333333333333,0.7142857142857143,0.06034105815478793,0.06920762286860582,0.036231884057971016,0.10204081632653061,0.0,0.058823529411764705,0.014285714285714285,0 / 53,2 / 34,2 / 140
San Mateo,1504.0,1.3202495654746857,0.9475308641975309,0.48516129032258065,0.354226052896032,0.5405585106382979,0.07407407407407407,0.06666666666666667,0.1,0.06382978723404255,2 / 30,3 / 30,6 / 94
San Pablo,53.0,1.0,1.0,0.11804008908685969,0.06892067620286085,0.018867924528301886,0.03125,0.0,0.02631578947368421,0.008,0 / 62,1 / 38,1 / 125
San Rafael,221.0,0.1671511627906977,0.1791044776119403,0.21946375372393248,0.42015209125475284,0.06787330316742081,0.06666666666666667,0.125,0.058823529411764705,0.057971014492753624,1 / 8,1 / 17,4 / 69
San Ramon,1719.0,0.8571428571428571,0.8571428571428571,1.2131263232180662,0.39059304703476483,0.017452006980802792,0.014350453172205438,0.0,0.0,0.010526315789473684,0 / 30,0 / 4,2 / 190
Santa Clara,4125.0,2.1885782513440315,1.284431137724551,1.0078182262399218,0.6523801992724972,0.208,0.1908713692946058,0.05314009661835749,0.07142857142857142,0.05429864253393665,11 / 207,1 / 14,12 / 221
Santa Rosa,1650.0,,,0.32461144993114305,1.0891089108910892,0.0,0.0,,,0.0,0 / 0,0 / 0,0 / 34
Saratoga,83.0,,,0.18906605922551253,0.3074074074074074,0.0,0.0,0.0,,0.0,0 / 8,0 / 0,0 / 14
Sausalito,20.0,0.5,0.5,0.25316455696202533,0.11173184357541899,0.05,0.047619047619047616,0.016666666666666666,0.0,0.011494252873563218,1 / 60,0 / 27,1 / 87
Sebastopol,27.0,0.75,0.6666666666666666,0.225,0.08681672025723473,0.07407407407407407,0.07142857142857142,,0.044444444444444446,0.04081632653061224,0 / 0,2 / 45,2 / 49
Sonoma,111.0,0.10256410256410256,0.10256410256410256,0.8102189781021898,0.14415584415584415,0.036036036036036036,0.043478260869565216,0.0,0.2,0.043478260869565216,0 / 13,1 / 5,1 / 23
South San Francisco,1084.0,5.787664838370872,3.618320610687023,0.5815450643776824,0.5002307337332718,0.43726937269372695,0.14285714285714285,0.12,0.2,0.14285714285714285,3 / 25,2 / 10,5 / 35
Suisun City,83.0,,,0.16435643564356436,0.2213923712990131,0.0,0.0,0.0,0.0,0.0,0 / 1,0 / 31,0 / 36
Sunnyvale,2515.0,0.750873884934055,0.8096280087527352,0.46129860601614087,0.07737509229633276,0.441351888667992,0.22456140350877193,0.06506849315068493,0.0,0.06333333333333334,19 / 292,0 / 5,19 / 300
Tiburon,19.0,,,0.24358974358974358,0.3877551020408163,0.0,0.0,0.0,0.0,0.0,0 / 3,0 / 2,0 / 5
Union City,426.0,0.8,0.6521739130434783,0.38517179023508136,0.4298688193743693,0.07042253521126761,0.019230769230769232,0.16666666666666666,0.06666666666666667,0.05714285714285714,1 / 6,1 / 15,2 / 35
Vacaville,1643.0,0.6644453453357342,0.5011904761904762,1.5156826568265682,0.30857241591730333,0.31953743152769326,0.2865347798340779,0.0,0.11428571428571428,0.07692307692307693,0 / 44,8 / 70,10 / 130
Vallejo,244.0,1.25,1.0,0.17914831130690162,0.09434071691212008,0.02459016393442623,0.022222222222222223,,0.01,0.009933774834437087,0 / 0,3 / 300,3 / 302
Walnut Creek,1194.0,1.4235294117647057,1.380952380952381,0.5342281879194631,0.779373368146214,0.048576214405360134,0.00881057268722467,0.008264462809917356,0.5,0.016129032258064516,1 / 121,1 / 2,2 / 124
Windsor,189.0,,,0.42954545454545456,0.15278900565885206,0.09523809523809523,0.2903225806451613,0.0,0.0,0.19607843137254902,0 / 3,0 / 4,10 / 51
Woodside,65.0,,,1.0483870967741935,0.23897058823529413,0.06153846153846154,0.06060606060606061,,0.015037593984962405,0.015037593984962405,0 / 0,4 / 266,4 / 266
Yountville,10.0,0.5,0.5,0.5882352941176471,0.14084507042253522,0.1,0.1,0.0,0.1111111111111111,0.07142857142857142,0 / 5,1 / 9,1 / 14
Overall,122067.0,1.9238975833071585,1.0016613127162672,0.6493270918665887,0.4703475022725347,0.260324248158798,0.16277186487737158,0.04441591784338896,0.055977229601518026,0.05263492063492063,346 / 7790,295 / 5270,829 / 15750
